"date","new_cases","genomes","fraction"
2020-02-28,1,1,1
2020-03-01,0,0,0
2020-03-08,1,0,0
2020-03-15,16,1,0.0625
2020-03-22,43,8,0.186046511627907
2020-03-29,143,15,0.104895104895105
2020-04-05,110,5,0.0454545454545455
2020-04-12,55,1,0.0181818181818182
2020-04-19,809,23,0.0284301606922126
2020-04-26,1206,15,0.0124378109452736
2020-05-03,1763,13,0.00737379466817924
2020-05-10,1470,23,0.0156462585034014
2020-05-17,1905,12,0.0062992125984252
2020-05-24,2329,8,0.0034349506225848
2020-05-31,2378,11,0.00462573591253154
2020-06-07,3449,20,0.0057987822557263
2020-06-14,4126,8,0.00193892389723703
2020-06-21,4269,13,0.00304520965097212
2020-06-28,4090,11,0.00268948655256724
2020-07-05,3820,17,0.00445026178010471
2020-07-12,4120,7,0.00169902912621359
2020-07-19,3870,3,0.000775193798449612
2020-07-26,3560,2,0.000561797752808989
2020-08-02,2603,6,0.00230503265462927
2020-08-09,2630,0,0
2020-08-16,3135,2,0.000637958532695375
2020-08-23,1822,0,0
2020-08-30,1178,4,0.0033955857385399
2020-09-06,1272,0,0
2020-09-13,968,0,0
2020-09-20,1053,0,0
2020-09-27,1089,0,0
2020-10-04,816,2,0.00245098039215686
2020-10-11,1204,2,0.00166112956810631
2020-10-18,623,0,0
2020-10-25,923,0,0
2020-11-01,937,0,0
2020-11-08,1206,3,0.00248756218905473
2020-11-15,1232,2,0.00162337662337662
2020-11-22,1102,10,0.00907441016333938
2020-11-29,1607,22,0.0136901057871811
2020-12-06,3820,10,0.00261780104712042
2020-12-13,5176,16,0.00309119010819165
2020-12-20,5643,16,0.00283537125642389
2020-12-27,5587,26,0.00465366028279936
2021-01-03,8315,82,0.00986169573060734
2021-01-10,11465,69,0.00601831661578718
2021-01-17,11659,34,0.00291620207564971
2021-01-24,9955,49,0.00492214967353089
2021-01-31,8685,30,0.00345423143350604
2021-02-07,6422,35,0.00545001557147306
2021-02-14,5889,39,0.00662251655629139
2021-02-21,3864,29,0.00750517598343685
2021-02-28,2820,32,0.0113475177304965
2021-03-07,2300,11,0.00478260869565217
2021-03-14,1114,6,0.00538599640933573
2021-03-21,838,1,0.00119331742243437
2021-03-28,624,3,0.00480769230769231
2021-04-04,623,0,0
2021-04-11,411,0,0
2021-04-18,537,0,0
2021-04-25,469,0,0
2021-05-02,229,4,0.0174672489082969
2021-05-09,320,0,0
2021-05-16,277,1,0.0036101083032491
2021-05-23,306,2,0.0065359477124183
2021-05-30,471,6,0.0127388535031847
2021-06-06,303,1,0.0033003300330033
2021-06-13,96,0,0
2021-06-20,275,2,0.00727272727272727
2021-06-27,373,12,0.032171581769437
2021-07-04,737,9,0.0122116689280868
2021-07-11,789,9,0.0114068441064639
2021-07-18,1566,10,0.00638569604086845
2021-07-25,3013,86,0.0285429804181878
2021-08-02,3707,145,0.03911518748314
2021-08-08,4347,286,0.0657925005751093
2021-08-15,4673,179,0.0383051572865397
2021-08-22,4348,207,0.047608095676173
2021-08-29,2661,183,0.068771138669673
2021-09-05,5061,121,0.0239083185141276
2021-09-12,2925,38,0.012991452991453
2021-09-19,2571,24,0.00933488914819136
2021-09-26,1877,23,0.0122535961640916
2021-10-03,1540,7,0.00454545454545455
2021-10-10,1555,1,0.000643086816720257
2021-10-17,1122,0,0
2021-10-24,1592,0,0
2021-10-31,740,4,0.00540540540540541
2021-11-07,500,2,0.004
